yi	xi
0.135802469	0.009753001
0.220493827	0.040617798
0.007901235	0.004320878
0.081481481	0.024691697
0.001604938	0.000246917
0.00037037	0.005061608
0.019135803	0.014197336
0	0.001234573
0.132592593	0.079382858
0.000493827	0.002098798
0.044691359	0.028024618
0.09925926	0.037530858
0.482962963	0.325186413
0.224814815	0.123948781
0.373456789	0.102839914
0.17654321	0.111356769
0.333827161	0.146049091
0	0.00506181
0	0.000617271
0.009753088	0.000864199
0.110123456	0.054075087
0.062839507	0.033704062
0.333950616	0.072593361
0.025061728	0.019876147
0	0.00061728
0.020246914	0.004197495
0.063209876	0.04950658
0.013580247	0.002098792
0.012345679	0.000370376
0.332962963	0.165063573
0.014938272	0.007530801
0.031604938	0.00753094
0	0.000493813
0.003950617	0.001851846
0	0.000123462
0.006666665	0.010370184
0.026419753	0.004691357
0.070123457	0.06740755
0.104814814	0.08555511
0.01419753	0.005802597
0.179259259	0.012469004
0.098148147	0.009506281
0.003703704	0.007654454
0.012962962	0.005555418
0.00074074	0.024073767
0.059506172	0.025678968
0.042839505	0.019136076
0.020246914	0.033455998
0.00074074	0.000246922
0.173333333	0.03024747
0.067777776	0.018642297
0.01419753	0.001358018
0.005679012	0.00555556
0.008641975	0.004197546
0.099506173	0.048888553
0.043456789	0.022098435
0.005308642	0.002839526
0.003086419	0.005925986
0.054691358	0.007037064
0.001481481	0.001851864
0.001234568	0.006666813
0.001234568	0
0.000246913	0.010123336
0.000864198	0.008518501
0	0.000740761
0.004444444	0.000987673
0.019382716	0.00135802
0.068765434	0.005925975
0.03037037	0.008024769
0.044691359	0.077160427
