Stratum	xi	yi
3	0.035277783	0.040241049
3	0.040432776	0.042938889
3	0.029619273	0.018025476
3	0.049815514	0.042608042
3	0.022866896	0.022676182
3	0.03198244	0.029536525
3	0.034223258	0.03788981
3	0.023173931	0.022645181
3	0.031491834	0.044212707
3	0.042002866	0.039005189
3	0.036904811	0.033557387
3	0.029884097	0.026062576
3	0.040781429	0.055443529
3	0.070055573	0.050011905
3	0.026342748	0.022798535
3	0.064652033	0.068823565
3	0.084128073	0.066404151
3	0.041208667	0.036441697
3	0.043620311	0.03635928
3	0.040201858	0.032170635
3	0.03076952	0.023817155
3	0.026648735	0.034211844
3	0.042774882	0.036260777
3	0.079508889	0.047826655
3	0.05030373	0.038436855
3	0.022921588	0.017108075
3	0.032149618	0.034314511
3	0.083332026	0.057932065
3	0.056189818	0.042827597
3	0.081980463	0.052515315
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
2	0.000246912	0
2	0.009444387	0.012418519
2	0.000154323	0
2	0.019197697	0.024507716
2	0.00120368	0.000861111
2	0.000123459	0
2	0.005524667	0.004408333
2	3.08642E-05	0
2	0.008624918	0.009689687
2	9.20781E-05	0
2	0.009054392	0
2	0.006046706	0.016872314
2	0.015623289	0.011829957
2	0.001626761	0.006047882
2	0.017464952	0.011517802
2	0.004849478	0.003394721
2	0.000214857	0
2	0.014732975	0.015088091
2	0.000213676	0.002700549
2	0.006959799	0.004612332
2	0.000183154	0
2	0.001426746	0.005856709
2	0.00015178	0
2	0.001912641	0.003137826
2	0.000332118	0
2	0.000603898	0.004466184
2	0.007487775	0.009185386
2	0.012138067	0.013677838
2	9.05732E-05	0.000353865
2	0.000810818	0.00118979
