Stratum	xi	yi
3	0.879057779	1.002733282
3	1.007510768	1.069958517
3	0.738058067	0.449161867
3	1.241311425	1.061714415
3	0.569801192	0.565048948
3	0.796943863	0.735996138
3	0.852780946	0.94414471
3	0.577451942	0.56427646
3	0.784718859	1.10169973
3	1.046634537	0.971937913
3	0.919600338	0.836188659
3	0.744656996	0.649431688
3	1.016198563	1.381551257
3	1.745656647	1.246205129
3	0.656413061	0.568097761
3	1.611010321	1.714957263
3	2.096317588	1.654669894
3	1.026844552	0.908060385
3	1.086938306	0.906006704
3	1.001756714	0.801633338
3	0.766720117	0.593479907
3	0.664037697	0.85249653
3	1.065871763	0.90355219
3	1.981215978	1.191752699
3	1.253476874	0.95777607
3	0.571164016	0.426301914
3	0.801109633	0.855054804
3	2.076481554	1.443561019
3	1.400147413	1.067185324
3	2.042803078	1.308585524
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
1	0	0
2	0.006153872	0
2	0.235385685	0.309510993
2	0.003846245	0
2	0.478470764	0.610814182
2	0.029999728	0.021461764
2	0.003077011	0
2	0.137693164	0.10987039
2	0.000769239	0
2	0.214961779	0.241499381
2	0.002294894	0
2	0.225665706	0
2	0.15070412	0.420514448
2	0.389384571	0.294842061
2	0.04054432	0.15073343
2	0.435284968	0.287062116
2	0.120865198	0.084607792
2	0.005354954	0
2	0.367194971	0.376045649
2	0.00532552	0.067306706
2	0.173461449	0.114954727
2	0.00456481	0
2	0.035559278	0.14596876
2	0.003782865	0
2	0.047669405	0.07820511
2	0.00827749	0
2	0.015051156	0.11131223
2	0.186620375	0.228930515
2	0.302521192	0.340897431
2	0.002257387	0.008819498
2	0.020208294	0.029653543
